name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
HIGH BRIDGE ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
HEPIDA JUNIOR PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
DEMBWA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KISHAMBA,MWATATE,TAITA TAVETA,,-3.45,38.36
PARKVIEW ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
JOSA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KISHAMBA,MWATATE,TAITA TAVETA,,-3.43,38.36
ST. JOSEPH PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KIDAYA NGERENYI,MWATATE,TAITA TAVETA,,-3.43,38.34
WANGA PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
VINEYARD PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
KIDAYA SAGAIGU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,BURA,MWATATE,TAITA TAVETA,,-3.44,38.34
VICHWALA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,CHAWIA,MWATATE,TAITA TAVETA,,-3.46,38.33
BEVO GOOD SAMARITAN ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
MAZOLA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,CHAWIA,MWATATE,TAITA TAVETA,,-3.48,38.35
ST. AGHANS DAY ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.03,39.61
GOMURA ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,MOMBASA,,-4.02,39.62
MWAWACHE PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,CHAWIA,MWATATE,TAITA TAVETA,,-3.48,38.36
MOMBASA STARSHINE PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,KIPEVU,CHANGAMWE,MOMBASA,,-4.02,39.62
WUSI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,CHAWIA,MWATATE,TAITA TAVETA,,-3.45,38.35
MOMBASA FRIENDSHIP ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,CHANGAMWE,KIPEVU,CHANGAMWE,MOMBASA,,-4.03,39.62
WUSI SPECIAL UNIT (M.H),PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,CHAWIA,MWATATE,TAITA TAVETA,,-3.45,38.35
FUMATHOKA PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.96,39.71
KISHAMBA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KISHAMBA,MWATATE,TAITA TAVETA,,-3.43,38.38
GOSHEN VIEW ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.96,39.73
MWATUNGE PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.5,38.4
GOSPAL PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-4,39.7
THE AGA KHAN ACADEMY MOMBASA PRI,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,ISLAND,TONONOKA,MVITA,MOMBASA,,-4.05,39.67
MZWANENYI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.47,38.42
JACRIDGE PRI,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.95
MWANDALA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.46,38.39
LIKONI REHABILITATION PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,LIKONI,LIKONI,LIKONI,MOMBASA,,-4.1,39.66
SANTA ANA CALM WATERS ACADEMY-PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.14,36.95
MWACHAWAZA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KISHAMBA,MWATATE,TAITA TAVETA,,-3.44,38.39
NGEWE PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.11,36.9
MASS PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,KISAUNI,KISAUNI,BAHARI,KILIFI,,-4.02,39.69
MAMBURA PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KISHAMBA,MWATATE,TAITA TAVETA,,-3.43,38.42
JACARANDA PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.1,36.91
MENGO PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,KISHAMBA,MWATATE,TAITA TAVETA,,-3.44,38.46
KITAMAIYU PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.06,36.9
MWATATE JUNIOR PREPARATORY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.48,38.44
SHANZU GOOD HOPE PRI SCH,PRIMARY SCHOOL,PUBLIC,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.97,39.72
OAKLAND PRI SCH,PRIMARY SCHOOL,PUBLIC,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.09,36.92
MAILI KUMI PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,MWATATE,MWATATE,MWATATE,TAITA TAVETA,,-3.48,38.45
NGURARU PRIMARY,PRIMARY SCHOOL,PUBLIC,COAST,TAITA TAVETA,WUNDANYI,WUNDANYI,WUNDANYI,TAITA TAVETA,,-3.4,38.36
