name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
CHEBIREBEI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,SINENDE,BARINGO,,0.27,36.14
WASEGES PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,SINENDE,BARINGO,,0.26,36.17
KIRIBOT PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KABUSWO,BARINGO,,0.24,36.18
KABUSWO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KABUSWO,BARINGO,,0.21,36.19
VONDENI PRI SCHOOL,PRIMARY SCHOOL,PUBLIC,EASTERN,MACHAKOS,MASINGA,KIVAA,MASINGA,MACHAKOS,,-0.88,37.7
POMBO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,NGENDALEL,BARINGO,,0.07,36.1
KIPNYUNGUNY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,NGENDALEL,BARINGO,,0.1,36.13
KABERGEI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLKOKWE,BARINGO,,0.13,36.14
KOPTEGA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.54
CHOMIEK PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLDEBES,BARINGO,,0.11,36.09
KAPNG'ETIK PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.56
OLDEBES PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,OLDEBES,BARINGO,,0.06,36.08
YATIANE PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.39,35.57
KOISARAM PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,KISANANA,MOGOTIO,KISANANA,BARINGO,,0,36.06
CHEROTA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.38,35.58
NGARIE PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.05,35.79
KABIMOI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.03,35.78
KAMWAGO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.58
ACK EMMANUEL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.03,35.78
KAPSAMICH PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.58
GREENVIEW PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0.02,35.79
LELBOINET PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.57
SOLIAN PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.76
CHEBIREI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.58
NESWIN DAYSTAR PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.75
SABATIA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.03,35.74
JONACH CHRISTIAN ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.58
LEBOLOS PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.02,35.79
KIPSAINA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.34,35.58
ST TERESA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,-0.02,35.79
KIPSANAI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.33,35.57
KOKWOMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0,35.78
CHEPKETERET PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.32,35.57
KIPKABER PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,SABATIA,VIHIGA,,0.01,35.79
KAPCHEBELEL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.29,35.56
KAPKITET PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,0.01,35.81
SIKINWO ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.34,35.56
KOKORWONIN PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.01,35.8
KAMOSONG PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.55
ST MARY'S PAROCHIAL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.02,35.81
KAMELIL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.56
KILOMBE PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.02,35.82
SITOTWO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.37,35.55
KANJULUL PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.02,35.83
KAPSERERE HIGHLAND ACADEMY,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.36,35.55
NAKURTAKWEI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.08,35.84
KAPCHEPTEK PR,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.33,35.56
ORINIE PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.05,35.87
KAPALWAT PR,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.35,35.54
MUSERECHI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,-0.03,35.87
KAPLETINGI PR,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MARICHOR,BOMET,,0.35,35.53
AIC ESAGERI PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,UNKNOWN,,0.02,35.83
KIPCHILOI PR,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,NYARU,BOMET,,0.34,35.52
ESAGERI UNIT FOR THE DEAF,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,UNKNOWN,,0.02,35.83
KAPKUT PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.32,35.52
MANDINA PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPLOMBE,BOMET,,0.01,35.83
LOLGARIN PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.3,35.5
KIPTOIM PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,UNKNOWN,,0.04,35.84
KIPRIRIA PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.26,35.52
CRESCENT ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KIPTOIM,UNKNOWN,,0.04,35.84
KIPKABUS DOWNS PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,ELGEYO/MARAKWET,,0.24,35.5
SAGASAGIK PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,LEMBUS-KIPTOIM,BARINGO,,0.08,35.86
AIC SAMABUL PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.26,35.5
SAGAT PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,LEMBUS-KIPTOIM,BARINGO,,0.08,35.82
CHEPKOSOM PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,TUMEIYO,ELGEYO/MARAKWET,,0.26,35.54
KIMAMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ESAGERI,ELDAMA RAVINE,KABIMOI,BOMET,,0.04,35.81
POYWECH PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.27,35.54
LOBOEN PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.29,35.53
CHEMOSWON PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.03,35.59
KIPKABUS FOREST PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,KABIEMIT,ELGEYO-MARAKWET,,0.29,35.55
TAMBARAS PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.03,35.58
KIMWOGO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,ELGEYO/MARAKWET,,0.25,35.56
AIC SEGUTON PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.05,35.56
KAPSOWEK PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,MAOI,BARINGO,,0.22,35.56
TARIGO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.06,35.56
KAMWOSOR PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAMWOSOR,ELGEYO/MARAKWET,,0.2,35.57
KAMURA PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.07,35.56
KIPSAOS PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAPKWONI,ELGEYO/MARAKWET,,0.18,35.6
SIGOWET PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MOSOP,NANDI,,0.04,35.55
TUGUMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,METKEI,ELGEYO/MARAKWET,,0.18,35.64
BRAIN HARVESTERS PR,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.06,35.54
WEREP PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,METKEI,ELGEYO/MARAKWET,,0.19,35.66
KABIRIRSUS PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,METKEI,ELGEYO/MARAKWET,,0.18,35.65
NYAKIO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.07,35.55
KAPSERGONG PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,METKEI,ELGEYO/MARAKWET,,0.18,35.62
KIRIMA PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.04,35.53
KAPCHORWA PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAPKWONY,ELGEYO/MARAKWET,,0.18,35.6
BOITO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,LEMBUS-MOSOP,BOMET,,0.03,35.53
CHEBOGE PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAPKWONY,ELGEYO/MARAKWET,,0.19,35.6
EQUATOR PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0,35.57
KIBOMET PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAMWOSOR,ELGEYO/MARAKWET,,0.19,35.58
KIPLONG'ON PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,-0.03,35.62
KIPTENDEN PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAMWOSOR,ELGEYO/MARAKWET,,0.2,35.55
LELGEL PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0.02,35.57
KAPCHEBUTUK PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,CHEPKORIO,KEIYO SOUTH,MAOI,BARINGO,,0.21,35.55
KAPSOIT PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0.02,35.55
TULWOBEI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,ELGEYO/MARAKWET,,0.25,35.54
EMMANUEL ACADEMY PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0,35.57
SIMOTWO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,ELGEYO/MARAKWET,,0.22,35.53
TULWAMOI PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,MUMBERES,ELDAMA RAVINE,MUMBERES,UNKNOWN,,0.01,35.58
ST THOMAS KAPCHORWA PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAMWOSOR,ELGEYO/MARAKWET,,0.19,35.53
TAMBUL PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,TUMEIYO,ELGEYO/MARAKWET,,0.26,35.57
NYASITA ACADEMY,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSINONI,UNKNOWN,,-1.01,34.85
AIC KAPKITONY PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,MAOI,BARINGO,,0.25,35.58
METIPSO PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.09,35.66
NYASITA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSINONI,UNKNOWN,,-1.05,34.83
KOGIBOR PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,MAOI,BARINGO,,0.23,35.59
CHEMUSUSU PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.09,35.64
TINONE PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,MAOI,BARINGO,,0.23,35.57
KOMBATICH PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,METKEI,KEIYO SOUTH,KAMWOSOR,ELGEYO/MARAKWET,,0.22,35.58
KABORE PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,TAMBACH,KEIYO NORTH,KIPTUILONG,ELGEYO/MARAKWET,,0.59,35.52
OSINONI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSINONI,UNKNOWN,,-1.02,34.81
KAPTIM PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.04,35.68
MOI TAMBACH PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KEIYO,TAMBACH,KEIYO NORTH,KIPTUILONG,ELGEYO/MARAKWET,,0.6,35.52
ENDOINYO ONKOPIT PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOLCHAN,KAJIADO,,-0.99,34.83
ARAMA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.05,35.66
OLALUI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLALUI,BARINGO,,-1.04,34.87
KAMASABA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.06,35.65
ILMESHUKI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLALUI,BARINGO,,-1.11,34.83
BETLA ACADEMY PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.06,35.65
ESAEI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOMISMIS,BARINGO,,-1.01,34.91
SINONIN PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.08,35.68
MUTENKUAR PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOMISMIS,BARINGO,,-1.07,34.88
KIPKUYANG PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,SIGORO-KIPTONO,BARINGO,,0.11,35.71
OLOSENTU PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOMISMIS,BARINGO,,-1.12,34.87
KIMWATHO PRY,PRIMARY SCHOOL,PUBLIC,EASTERN,MAKUENI,KAITI,KEE,KAITI,MAKUENI,,-1.74,37.35
OLOSAYIET PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOMISMIS,BARINGO,,-1.02,34.89
OLOIBORSOITO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOIBORSOITO,NAROK,,-0.99,34.91
KABOR PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,KIPTUNO,BARINGO,,0.15,35.75
ARISE AND SHINE ACADEMY,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OLOIBORSOITO,NAROK,,-0.99,34.92
KIPTUNO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,KIPTUNO,BARINGO,,0.13,35.76
TRANSMARA HILLSPRINGS ACADEMY,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,POROKO,BOMET,,-0.96,34.89
SIGORO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS-CHEMORGONG,BARINGO,,0.12,35.73
LALUT PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,KOISAMO,BARINGO,,0.14,35.72
OSUPUKO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSUPUKO,BARINGO,,-0.94,34.91
KEWANGOI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,KOISAMO,BARINGO,,0.13,35.7
NARONYO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSUPUKO,BARINGO,,-0.95,34.92
KAMGOECH PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,LEMBUS CENTRAL,BOMET,,0.09,35.73
OSONKOROI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,KILGORIS,KILGORIS,OSUPUKO,BARINGO,,-0.96,34.91
GREEN ANGELS JUNIOR PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.38
ENENKESHUI PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,MEGWARA,BARINGO,,-0.96,34.93
FAITH JUNIOR PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.38
MEGUARRA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,MEGWARA,BARINGO,,-0.93,34.93
ZIWANI JUINIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,NYAHURURU,LAIKIPIA,,0.04,36.39
ROMOSHA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,MEGWARA,BARINGO,,-0.91,34.97
OASIS PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,TOWNSHIP,TRANS NZOIA,,0.04,36.38
SHARTUKA PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,SHARTUKA,BARINGO,,-0.96,34.95
ST MICHAEL JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,LAIKIPIA,NYAHURURU,LAIKIPIA WEST,MUTITU,KITUI,,0.03,36.41
OSERO PRI,PRIMARY SCHOOL,PUBLIC,RIFT VALLEY,TRANS MARA,PIRRAR,KILGORIS,SHARTUKA,BARINGO,,-1,34.96
