name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
ST TERESA BUW ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MWEA,KIRINYAGA,,-0.56,37.41
ST ANN PIAI ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MWEA,KIRINYAGA,,-0.54,37.44
TOP TALENTS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,THIKA,RUIRU,RUIRU,JUJA,KIAMBU,,-1.16,36.93
CONSOLATA PRI SCH KARIMA,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,KARIMA,OTHAYA,NYERI,,-0.52,36.99
MURINDUKO JOSEPH SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MWEA,KIRINYAGA,,-0.55,37.44
RIVER ROAD SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,IRIA-INI,OTHAYA,NYERI,,-0.54,36.94
PRECIOUS TREASURES ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MWEA,KIRINYAGA,,-0.57,37.46
BLESSED ACTS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4,39.71
THE GREENS ACES PREP SCH,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,CHINGA,OTHAYA,NYERI,,-0.59,36.94
GATHIGIINI PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MWEA,KIRINYAGA,,-0.59,37.44
ST MONICA KAGICHA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,OTHAYA,CHINGA,OTHAYA,NYERI,,-0.6,36.9
BOMBO PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,BAMBURI,KISAUNI,MOMBASA,,-3.97,39.7
ST SUZAN PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MWEA,KIRINYAGA,,-0.6,37.43
CHANGAMWE BAPTIST PRI SCH,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,MOMBASA,,-4.03,39.63
