name,level,status,province,district,division,location,constituency,county,email,latitude,longitude
VISION ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,NYERI,MUKURWE-INI,GITHI,MUKURWE-INI,NYERI,,-0.56,37.13
CHRIS PREPARATORY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.68
MWEA BRIGHT STAR,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.67,37.36
SHIRIKISHO PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.68,37.36
ST. PETERS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.68
NGURUBANI PCEA ACADEMY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.68,37.35
WILSTAR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.68
MERCY PREPARATORY,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.68,37.36
MISHOMORONI JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,COAST,MOMBASA,KISAUNI,KISAUNI,KISAUNI,MOMBASA,,-4.02,39.68
VICTORY KINDERGARTEN PRI,PRIMARY SCHOOL,PRIVATE,CENTRAL,KIRINYAGA,MWEA,TEBERE,MWEA,KIRINYAGA,,-0.68,37.36
